reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
WE HAVE OFTEN URGED HIM TO WALK MORE AND SMOKE LESS,WOUIS HAVE ATE INTOTUNTO O MOAN AN AN TMOT LEF,WE HAVE ATEINTETUNTO ONE MIN IN INTMO MET,"{'mean_confidence': 0.9155785441398621, 'min_confidence': 0.28216680884361267, 'max_confidence': 0.9999972581863403}","{'mean_confidence': 0.9069472551345825, 'min_confidence': 0.22584977746009827, 'max_confidence': 0.9999946355819702}",11.145,7.9226875,0.9090909090909091,0.8181818181818182,"{'original_duration': 11.145, 'adjusted_duration': 7.9226875, 'phoneme_stats': {'noi': {'count': 5, 'total_original_duration': 3.8499999999999996, 'total_adjusted_duration': 3.6521317388613106, 'tempo_ratio': 1.05417884}, 'w': {'count': 2, 'total_original_duration': 0.39, 'total_adjusted_duration': 0.22216517501569227, 'tempo_ratio': 1.755450646}, 'iy': {'count': 1, 'total_original_duration': 0.1725, 'total_adjusted_duration': 0.11089318803228834, 'tempo_ratio': 1.555550914}, 'h': {'count': 1, 'total_original_duration': 0.07, 'total_adjusted_duration': 0.07, 'tempo_ratio': 1.0}, 'ae': {'count': 4, 'total_original_duration': 1.325, 'total_adjusted_duration': 0.756865449520815, 'tempo_ratio': 1.750641413}, 'v': {'count': 1, 'total_original_duration': 0.21, 'total_adjusted_duration': 0.11786882356735265, 'tempo_ratio': 1.781641605}, 'ao': {'count': 2, 'total_original_duration': 0.385, 'total_adjusted_duration': 0.22329352941350225, 'tempo_ratio': 1.724187893}, 'dcl': {'count': 1, 'total_original_duration': 0.105, 'total_adjusted_duration': 0.06739578542522648, 'tempo_ratio': 1.557960922}, 'd': {'count': 1, 'total_original_duration': 0.045, 'total_adjusted_duration': 0.025133819969738413, 'tempo_ratio': 1.790416262}, 'ih': {'count': 2, 'total_original_duration': 0.165, 'total_adjusted_duration': 0.09911574471037082, 'tempo_ratio': 1.664720378}, 'n': {'count': 4, 'total_original_duration': 0.7525, 'total_adjusted_duration': 0.4329759852202978, 'tempo_ratio': 1.737971679}, 'er': {'count': 2, 'total_original_duration': 0.4225, 'total_adjusted_duration': 0.2087224417782507, 'tempo_ratio': 2.024219324}, 'm': {'count': 3, 'total_original_duration': 0.7150000000000001, 'total_adjusted_duration': 0.4080814740610108, 'tempo_ratio': 1.752101101}, 'tcl': {'count': 3, 'total_original_duration': 0.485, 'total_adjusted_duration': 0.2894964674411429, 'tempo_ratio': 1.675322688}, 't': {'count': 3, 'total_original_duration': 0.1375, 'total_adjusted_duration': 0.08346065205221687, 'tempo_ratio': 1.647482935}, 'uw': {'count': 3, 'total_original_duration': 0.42000000000000004, 'total_adjusted_duration': 0.2326609627977735, 'tempo_ratio': 1.805201848}, 'aa': {'count': 1, 'total_original_duration': 0.16, 'total_adjusted_duration': 0.08547026873806556, 'tempo_ratio': 1.871995986}, 'r': {'count': 1, 'total_original_duration': 0.175, 'total_adjusted_duration': 0.11168026151979217, 'tempo_ratio': 1.566973408}, 'sil': {'count': 1, 'total_original_duration': 0.12, 'total_adjusted_duration': 0.12, 'tempo_ratio': 1.0}, 's': {'count': 2, 'total_original_duration': 0.39749999999999996, 'total_adjusted_duration': 0.23590380395038169, 'tempo_ratio': 1.685008861}, 'ow': {'count': 1, 'total_original_duration': 0.24, 'total_adjusted_duration': 0.14705310521803716, 'tempo_ratio': 1.632063462}, 'k': {'count': 1, 'total_original_duration': 0.1175, 'total_adjusted_duration': 0.05915874760538606, 'tempo_ratio': 1.98618133}, 'l': {'count': 1, 'total_original_duration': 0.14, 'total_adjusted_duration': 0.07781036341790984, 'tempo_ratio': 1.799246191}, 'eh': {'count': 1, 'total_original_duration': 0.135, 'total_adjusted_duration': 0.08532283532628127, 'tempo_ratio': 1.582225901}}}",0046.wav
TRAIN,DREAM,DREAM,"{'mean_confidence': 0.9896653294563293, 'min_confidence': 0.6142324209213257, 'max_confidence': 0.9999995231628418}","{'mean_confidence': 0.9818693399429321, 'min_confidence': 0.5119733810424805, 'max_confidence': 0.9999964237213135}",2.675,2.294875,1.0,1.0,"{'original_duration': 2.675, 'adjusted_duration': 2.294875, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.9949999999999999, 'total_adjusted_duration': 1.8924682646826794, 'tempo_ratio': 1.05417884}, 'tcl': {'count': 1, 'total_original_duration': 0.045, 'total_adjusted_duration': 0.026860496979075114, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.0575, 'total_adjusted_duration': 0.03490172722183614, 'tempo_ratio': 1.647482935}, 'r': {'count': 1, 'total_original_duration': 0.0975, 'total_adjusted_duration': 0.0622218599895985, 'tempo_ratio': 1.566973408}, 'ey': {'count': 1, 'total_original_duration': 0.105, 'total_adjusted_duration': 0.06840782332663542, 'tempo_ratio': 1.534912162}, 'n': {'count': 1, 'total_original_duration': 0.365, 'total_adjusted_duration': 0.21001492970818428, 'tempo_ratio': 1.737971679}}}",0047.wav
A LONG FLOWING BEARD CLINGS TO HIS CHIN,A LOT ALOWIN A LONG FLOWING TE BUE BEN BE GLIN DOIN JI,ALONG AND LONG FLOWING BEN BID CLING TOI JI,"{'mean_confidence': 0.9567912817001343, 'min_confidence': 0.3867490887641907, 'max_confidence': 0.999996542930603}","{'mean_confidence': 0.946402907371521, 'min_confidence': 0.29535946249961853, 'max_confidence': 0.9999674558639526}",14.085,10.424625,1.25,0.875,"{'original_duration': 14.085, 'adjusted_duration': 10.424625, 'phoneme_stats': {'noi': {'count': 9, 'total_original_duration': 6.4325, 'total_adjusted_duration': 6.101905820837763, 'tempo_ratio': 1.05417884}, 'ah': {'count': 2, 'total_original_duration': 0.21500000000000002, 'total_adjusted_duration': 0.10141990881923763, 'tempo_ratio': 2.119899362}, 'l': {'count': 6, 'total_original_duration': 0.7575, 'total_adjusted_duration': 0.42100964492190496, 'tempo_ratio': 1.799246191}, 'ao': {'count': 3, 'total_original_duration': 0.3625, 'total_adjusted_duration': 0.21024390756466121, 'tempo_ratio': 1.724187893}, 'ng': {'count': 5, 'total_original_duration': 1.5025, 'total_adjusted_duration': 0.717827899271985, 'tempo_ratio': 2.093120094}, 'f': {'count': 1, 'total_original_duration': 0.23, 'total_adjusted_duration': 0.14104734691507304, 'tempo_ratio': 1.630658109}, 'ow': {'count': 1, 'total_original_duration': 0.1475, 'total_adjusted_duration': 0.09037638758191867, 'tempo_ratio': 1.632063462}, 'ih': {'count': 8, 'total_original_duration': 1.25, 'total_adjusted_duration': 0.7508768538664456, 'tempo_ratio': 1.664720378}, 'bcl': {'count': 3, 'total_original_duration': 0.9450000000000001, 'total_adjusted_duration': 0.5858750971094948, 'tempo_ratio': 1.612971783}, 'b': {'count': 3, 'total_original_duration': 0.2825, 'total_adjusted_duration': 0.16884228104006746, 'tempo_ratio': 1.673159106}, 'r': {'count': 1, 'total_original_duration': 0.0975, 'total_adjusted_duration': 0.0622218599895985, 'tempo_ratio': 1.566973408}, 'dcl': {'count': 2, 'total_original_duration': 0.29500000000000004, 'total_adjusted_duration': 0.18935006381373154, 'tempo_ratio': 1.557960922}, 'd': {'count': 2, 'total_original_duration': 0.46249999999999997, 'total_adjusted_duration': 0.25831981635564477, 'tempo_ratio': 1.790416262}, 'kcl': {'count': 2, 'total_original_duration': 0.17, 'total_adjusted_duration': 0.08642326468897962, 'tempo_ratio': 1.967062927}, 'k': {'count': 2, 'total_original_duration': 0.185, 'total_adjusted_duration': 0.09314356005954401, 'tempo_ratio': 1.98618133}, 'tcl': {'count': 1, 'total_original_duration': 0.085, 'total_adjusted_duration': 0.050736494293808554, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.085, 'total_adjusted_duration': 0.05159385763227951, 'tempo_ratio': 1.647482935}, 'uw': {'count': 1, 'total_original_duration': 0.095, 'total_adjusted_duration': 0.052625693966163054, 'tempo_ratio': 1.805201848}, 'ch': {'count': 1, 'total_original_duration': 0.1225, 'total_adjusted_duration': 0.08785902170925852, 'tempo_ratio': 1.394279126}, 'n': {'count': 1, 'total_original_duration': 0.3525, 'total_adjusted_duration': 0.20282263759489028, 'tempo_ratio': 1.737971679}}}",0048.wav
FEED,DID,HID,"{'mean_confidence': 0.9914241433143616, 'min_confidence': 0.48991426825523376, 'max_confidence': 0.9999802112579346}","{'mean_confidence': 0.988744854927063, 'min_confidence': 0.3767625689506531, 'max_confidence': 0.9999712705612183}",2.485,2.13575,1.0,1.0,"{'original_duration': 2.485, 'adjusted_duration': 2.13575, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.87, 'total_adjusted_duration': 1.773892558875494, 'tempo_ratio': 1.05417884}, 'f': {'count': 1, 'total_original_duration': 0.1775, 'total_adjusted_duration': 0.10885175685837158, 'tempo_ratio': 1.630658109}, 'iy': {'count': 1, 'total_original_duration': 0.1475, 'total_adjusted_duration': 0.09482171150586975, 'tempo_ratio': 1.555550914}, 'dcl': {'count': 1, 'total_original_duration': 0.055, 'total_adjusted_duration': 0.03530255427035673, 'tempo_ratio': 1.557960922}, 'd': {'count': 1, 'total_original_duration': 0.22, 'total_adjusted_duration': 0.1228764531853878, 'tempo_ratio': 1.790416262}}}",0050.wav
FARM,FRANDS,FANGE,"{'mean_confidence': 0.9725872278213501, 'min_confidence': 0.5015131235122681, 'max_confidence': 0.9999990463256836}","{'mean_confidence': 0.9735171794891357, 'min_confidence': 0.41571417450904846, 'max_confidence': 0.9999960660934448}",2.61,2.20025,1.0,1.0,"{'original_duration': 2.61, 'adjusted_duration': 2.20025, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.8575, 'total_adjusted_duration': 1.7620349882947752, 'tempo_ratio': 1.05417884}, 'f': {'count': 1, 'total_original_duration': 0.225, 'total_adjusted_duration': 0.13798110024300625, 'tempo_ratio': 1.630658109}, 'ao': {'count': 1, 'total_original_duration': 0.1425, 'total_adjusted_duration': 0.08264760504265992, 'tempo_ratio': 1.724187893}, 'r': {'count': 1, 'total_original_duration': 0.0525, 'total_adjusted_duration': 0.03350407845593765, 'tempo_ratio': 1.566973408}, 'm': {'count': 1, 'total_original_duration': 0.3225, 'total_adjusted_duration': 0.18406472081772865, 'tempo_ratio': 1.752101101}}}",0051.wav
USUALLY MINUS SEVERAL BUTTONS,YOU N ME FERTHER ON BUTN,YOU E M SAID THE ONBAN,"{'mean_confidence': 0.9461681842803955, 'min_confidence': 0.3371615707874298, 'max_confidence': 0.9999969005584717}","{'mean_confidence': 0.9434999823570251, 'min_confidence': 0.32305920124053955, 'max_confidence': 0.9999974966049194}",6.8350625,5.237875,1.5,1.5,"{'original_duration': 6.8350625, 'adjusted_duration': 5.237875, 'phoneme_stats': {'noi': {'count': 3, 'total_original_duration': 3.52, 'total_adjusted_duration': 3.3390918755303414, 'tempo_ratio': 1.05417884}, 'y': {'count': 1, 'total_original_duration': 0.2025, 'total_adjusted_duration': 0.10428616638224715, 'tempo_ratio': 1.941772404}, 'uw': {'count': 1, 'total_original_duration': 0.2425, 'total_adjusted_duration': 0.1343340082820478, 'tempo_ratio': 1.805201848}, 'dcl': {'count': 1, 'total_original_duration': 0.035, 'total_adjusted_duration': 0.02246526180840883, 'tempo_ratio': 1.557960922}, 'jh': {'count': 1, 'total_original_duration': 0.06, 'total_adjusted_duration': 0.031466633892978726, 'tempo_ratio': 1.906781647}, 'iy': {'count': 1, 'total_original_duration': 0.6, 'total_adjusted_duration': 0.38571543663404645, 'tempo_ratio': 1.555550914}, 'm': {'count': 1, 'total_original_duration': 0.2825, 'total_adjusted_duration': 0.16123498800312663, 'tempo_ratio': 1.752101101}, 'ih': {'count': 2, 'total_original_duration': 0.21749999999999997, 'total_adjusted_duration': 0.13065257257276153, 'tempo_ratio': 1.664720378}, 'n': {'count': 2, 'total_original_duration': 0.1525, 'total_adjusted_duration': 0.08774596378218658, 'tempo_ratio': 1.737971679}, 'ah': {'count': 3, 'total_original_duration': 0.4275, 'total_adjusted_duration': 0.20166051637313526, 'tempo_ratio': 2.119899362}, 's': {'count': 1, 'total_original_duration': 0.3075, 'total_adjusted_duration': 0.1824916219238802, 'tempo_ratio': 1.685008861}, 'eh': {'count': 1, 'total_original_duration': 0.115, 'total_adjusted_duration': 0.07268241527794331, 'tempo_ratio': 1.582225901}, 'v': {'count': 1, 'total_original_duration': 0.08, 'total_adjusted_duration': 0.044902408978039106, 'tempo_ratio': 1.781641605}, 'r': {'count': 1, 'total_original_duration': 0.0875, 'total_adjusted_duration': 0.055840130759896085, 'tempo_ratio': 1.566973408}, 'l': {'count': 1, 'total_original_duration': 0.3375, 'total_adjusted_duration': 0.1875785546681755, 'tempo_ratio': 1.799246191}, 'bcl': {'count': 1, 'total_original_duration': 0.075, 'total_adjusted_duration': 0.04649802358011863, 'tempo_ratio': 1.612971783}, 'b': {'count': 1, 'total_original_duration': 0.0825, 'total_adjusted_duration': 0.04930792278161262, 'tempo_ratio': 1.673159106}}}",0052.wav
DUG,DEATH,DEAD,"{'mean_confidence': 0.9947611689567566, 'min_confidence': 0.7626520395278931, 'max_confidence': 0.9999980926513672}","{'mean_confidence': 0.9943231344223022, 'min_confidence': 0.8257626891136169, 'max_confidence': 0.9999964237213135}",2.425,2.133625,1.0,1.0,"{'original_duration': 2.425, 'adjusted_duration': 2.133625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.9529999999999998, 'total_adjusted_duration': 1.852626827531465, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 1, 'total_original_duration': 0.0674375, 'total_adjusted_duration': 0.04328574552013058, 'tempo_ratio': 1.557960922}, 'd': {'count': 1, 'total_original_duration': 0.0499375, 'total_adjusted_duration': 0.02789155854975138, 'tempo_ratio': 1.790416262}, 'ah': {'count': 1, 'total_original_duration': 0.094875, 'total_adjusted_duration': 0.04475448301965195, 'tempo_ratio': 2.119899362}, 'gcl': {'count': 1, 'total_original_duration': 0.0575, 'total_adjusted_duration': 0.04203659009114975, 'tempo_ratio': 1.367855953}, 'g': {'count': 1, 'total_original_duration': 0.19225, 'total_adjusted_duration': 0.12302553227614066, 'tempo_ratio': 1.562683749}}}",0053.wav
BIT,BIT,BIT,"{'mean_confidence': 0.9922761917114258, 'min_confidence': 0.6084346771240234, 'max_confidence': 0.9999847412109375}","{'mean_confidence': 0.9844524264335632, 'min_confidence': 0.5433474183082581, 'max_confidence': 0.9999947547912598}",2.2650625,1.8536875,0.0,0.0,"{'original_duration': 2.2650625, 'adjusted_duration': 1.8536875, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.416, 'total_adjusted_duration': 1.3432255953837964, 'tempo_ratio': 1.05417884}, 'bcl': {'count': 1, 'total_original_duration': 0.2869375, 'total_adjusted_duration': 0.1778936885469372, 'tempo_ratio': 1.612971783}, 'b': {'count': 1, 'total_original_duration': 0.053625, 'total_adjusted_duration': 0.032050149808048205, 'tempo_ratio': 1.673159106}, 'ih': {'count': 1, 'total_original_duration': 0.102625, 'total_adjusted_duration': 0.06164698970243518, 'tempo_ratio': 1.664720378}, 'tcl': {'count': 1, 'total_original_duration': 0.179625, 'total_adjusted_duration': 0.10721815044147483, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.2169375, 'total_adjusted_duration': 0.13167814694238397, 'tempo_ratio': 1.647482935}}}",0054.wav
RACE,RAIGE,RIT,"{'mean_confidence': 0.9789676070213318, 'min_confidence': 0.27696600556373596, 'max_confidence': 0.9999923706054688}","{'mean_confidence': 0.9654587507247925, 'min_confidence': 0.2731618583202362, 'max_confidence': 0.9999723434448242}",2.685,2.354,1.0,1.0,"{'original_duration': 2.685, 'adjusted_duration': 2.354, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.1174999999999997, 'total_adjusted_duration': 2.008672456373721, 'tempo_ratio': 1.05417884}, 'r': {'count': 1, 'total_original_duration': 0.0875, 'total_adjusted_duration': 0.055840130759896085, 'tempo_ratio': 1.566973408}, 'ey': {'count': 1, 'total_original_duration': 0.1575, 'total_adjusted_duration': 0.10261173498995313, 'tempo_ratio': 1.534912162}, 's': {'count': 1, 'total_original_duration': 0.315, 'total_adjusted_duration': 0.18694263709275533, 'tempo_ratio': 1.685008861}}}",0055.wav
SIP,SLIP,SIP,"{'mean_confidence': 0.9896131753921509, 'min_confidence': 0.5257266759872437, 'max_confidence': 0.9999967813491821}","{'mean_confidence': 0.9785776734352112, 'min_confidence': 0.5208927392959595, 'max_confidence': 0.9999954700469971}",2.22,1.8683125,1.0,0.0,"{'original_duration': 2.22, 'adjusted_duration': 1.8683125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.5611875, 'total_adjusted_duration': 1.4809512776788423, 'tempo_ratio': 1.05417884}, 's': {'count': 1, 'total_original_duration': 0.2111875, 'total_adjusted_duration': 0.12533316879690878, 'tempo_ratio': 1.685008861}, 'ih': {'count': 1, 'total_original_duration': 0.1285625, 'total_adjusted_duration': 0.07722768442016392, 'tempo_ratio': 1.664720378}, 'pcl': {'count': 1, 'total_original_duration': 0.1400625, 'total_adjusted_duration': 0.083898561297737, 'tempo_ratio': 1.66942672}, 'p': {'count': 1, 'total_original_duration': 0.16525, 'total_adjusted_duration': 0.10092366751301693, 'tempo_ratio': 1.637376089}}}",0056.wav
RANGE,RINK,RYNG,"{'mean_confidence': 0.9828876852989197, 'min_confidence': 0.32431909441947937, 'max_confidence': 0.9999933242797852}","{'mean_confidence': 0.9809906482696533, 'min_confidence': 0.42742103338241577, 'max_confidence': 0.9999970197677612}",2.55,2.1740625,1.0,1.0,"{'original_duration': 2.55, 'adjusted_duration': 2.1740625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.9074999999999998, 'total_adjusted_duration': 1.8094652706176495, 'tempo_ratio': 1.05417884}, 'r': {'count': 1, 'total_original_duration': 0.11, 'total_adjusted_duration': 0.07019902152672651, 'tempo_ratio': 1.566973408}, 'ey': {'count': 1, 'total_original_duration': 0.125, 'total_adjusted_duration': 0.08143788491266121, 'tempo_ratio': 1.534912162}, 'n': {'count': 1, 'total_original_duration': 0.14, 'total_adjusted_duration': 0.08055367166889262, 'tempo_ratio': 1.737971679}, 'jh': {'count': 1, 'total_original_duration': 0.2525, 'total_adjusted_duration': 0.1324220842996188, 'tempo_ratio': 1.906781647}}}",0057.wav
SHARE,JEATH,GEF,"{'mean_confidence': 0.9801298975944519, 'min_confidence': 0.3252161145210266, 'max_confidence': 0.9999969005584717}","{'mean_confidence': 0.9775665402412415, 'min_confidence': 0.46414676308631897, 'max_confidence': 0.9999644756317139}",2.885,2.56725,1.0,1.0,"{'original_duration': 2.885, 'adjusted_duration': 2.56725, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.33, 'total_adjusted_duration': 2.210251156245936, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 1, 'total_original_duration': 0.05, 'total_adjusted_duration': 0.032093231154869756, 'tempo_ratio': 1.557960922}, 'ch': {'count': 1, 'total_original_duration': 0.09, 'total_adjusted_duration': 0.06454948533741442, 'tempo_ratio': 1.394279126}, 'eh': {'count': 1, 'total_original_duration': 0.2, 'total_adjusted_duration': 0.12640420048337966, 'tempo_ratio': 1.582225901}, 'r': {'count': 1, 'total_original_duration': 0.21, 'total_adjusted_duration': 0.1340163138237506, 'tempo_ratio': 1.566973408}}}",0058.wav
CHAIR,DRIL,GEUR,"{'mean_confidence': 0.9745002388954163, 'min_confidence': 0.6282991766929626, 'max_confidence': 0.9999946355819702}","{'mean_confidence': 0.971887469291687, 'min_confidence': 0.27188611030578613, 'max_confidence': 0.9999959468841553}",2.645,2.32325,1.0,1.0,"{'original_duration': 2.645, 'adjusted_duration': 2.32325, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.0225, 'total_adjusted_duration': 1.91855491996026, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 1, 'total_original_duration': 0.1075, 'total_adjusted_duration': 0.06900044698296996, 'tempo_ratio': 1.557960922}, 'ch': {'count': 1, 'total_original_duration': 0.1425, 'total_adjusted_duration': 0.10220335178423949, 'tempo_ratio': 1.394279126}, 'eh': {'count': 1, 'total_original_duration': 0.1675, 'total_adjusted_duration': 0.10586351790483046, 'tempo_ratio': 1.582225901}, 'r': {'count': 1, 'total_original_duration': 0.2, 'total_adjusted_duration': 0.1276345845940482, 'tempo_ratio': 1.566973408}}}",0059.wav
HE SLOWLY TAKES A SHORT WALK IN THE OPEN AIR EACH DAY,HE THOUGHTLY TI A DONMA IN THAT BOUT OUBIN ERHE IDI,HE FOLY THIN OF JOHN MADIT IN THE BABI ANYPINDY,"{'mean_confidence': 0.9413014650344849, 'min_confidence': 0.30615800619125366, 'max_confidence': 0.9999966621398926}","{'mean_confidence': 0.924440324306488, 'min_confidence': 0.2655276358127594, 'max_confidence': 0.9999969005584717}",13.6,10.3355,0.75,0.75,"{'original_duration': 13.6, 'adjusted_duration': 10.3355, 'phoneme_stats': {'noi': {'count': 7, 'total_original_duration': 6.0425, 'total_adjusted_duration': 5.7319496187193435, 'tempo_ratio': 1.05417884}, 'hh': {'count': 1, 'total_original_duration': 0.2375, 'total_adjusted_duration': 0.16482314523360905, 'tempo_ratio': 1.440938405}, 'iy': {'count': 5, 'total_original_duration': 1.2925, 'total_adjusted_duration': 0.8308953364158417, 'tempo_ratio': 1.555550914}, 'th': {'count': 1, 'total_original_duration': 0.205, 'total_adjusted_duration': 0.14252333017577182, 'tempo_ratio': 1.438361002}, 'l': {'count': 2, 'total_original_duration': 0.18, 'total_adjusted_duration': 0.10004189582302693, 'tempo_ratio': 1.799246191}, 'ow': {'count': 3, 'total_original_duration': 0.6000000000000001, 'total_adjusted_duration': 0.3676327630450929, 'tempo_ratio': 1.632063462}, 'tcl': {'count': 1, 'total_original_duration': 0.3475, 'total_adjusted_duration': 0.2074227266717467, 'tempo_ratio': 1.675322688}, 't': {'count': 2, 'total_original_duration': 0.3525, 'total_adjusted_duration': 0.21396276253386504, 'tempo_ratio': 1.647482935}, 'ey': {'count': 2, 'total_original_duration': 0.475, 'total_adjusted_duration': 0.3094639626681126, 'tempo_ratio': 1.534912162}, 'ah': {'count': 4, 'total_original_duration': 0.8825, 'total_adjusted_duration': 0.4162933466650102, 'tempo_ratio': 2.119899362}, 'dcl': {'count': 2, 'total_original_duration': 0.2975, 'total_adjusted_duration': 0.190954725371475, 'tempo_ratio': 1.557960922}, 'ch': {'count': 3, 'total_original_duration': 0.76, 'total_adjusted_duration': 0.5450845428492774, 'tempo_ratio': 1.394279126}, 'ao': {'count': 2, 'total_original_duration': 0.235, 'total_adjusted_duration': 0.13629605042122864, 'tempo_ratio': 1.724187893}, 'r': {'count': 2, 'total_original_duration': 0.3875, 'total_adjusted_duration': 0.2472920076509684, 'tempo_ratio': 1.566973408}, 'w': {'count': 1, 'total_original_duration': 0.085, 'total_adjusted_duration': 0.048420615067522675, 'tempo_ratio': 1.755450646}, 'kcl': {'count': 1, 'total_original_duration': 0.065, 'total_adjusted_duration': 0.033044189439903976, 'tempo_ratio': 1.967062927}, 'k': {'count': 1, 'total_original_duration': 0.2, 'total_adjusted_duration': 0.10069574060491245, 'tempo_ratio': 1.98618133}, 'ih': {'count': 1, 'total_original_duration': 0.1175, 'total_adjusted_duration': 0.07058242426344588, 'tempo_ratio': 1.664720378}, 'n': {'count': 2, 'total_original_duration': 0.25, 'total_adjusted_duration': 0.14384584226587965, 'tempo_ratio': 1.737971679}, 'dh': {'count': 1, 'total_original_duration': 0.13, 'total_adjusted_duration': 0.058261475239433015, 'tempo_ratio': 2.231320087}, 'pcl': {'count': 1, 'total_original_duration': 0.0675, 'total_adjusted_duration': 0.04043304158927084, 'tempo_ratio': 1.66942672}, 'p': {'count': 1, 'total_original_duration': 0.0225, 'total_adjusted_duration': 0.01374149784594784, 'tempo_ratio': 1.637376089}, 'eh': {'count': 1, 'total_original_duration': 0.2625, 'total_adjusted_duration': 0.1659055131344358, 'tempo_ratio': 1.582225901}, 'd': {'count': 1, 'total_original_duration': 0.1, 'total_adjusted_duration': 0.05585293326608536, 'tempo_ratio': 1.790416262}}}",0060.wav
GROW,GO,GO,"{'mean_confidence': 0.9957455992698669, 'min_confidence': 0.9250721335411072, 'max_confidence': 0.9999971389770508}","{'mean_confidence': 0.9886360764503479, 'min_confidence': 0.6746441721916199, 'max_confidence': 0.9999959468841553}",2.73,2.5354375,1.0,1.0,"{'original_duration': 2.73, 'adjusted_duration': 2.5354375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 5.4849375, 'total_adjusted_duration': 5.203042682966393, 'tempo_ratio': 1.05417884}, 'gcl': {'count': 1, 'total_original_duration': 0.447875, 'total_adjusted_duration': 0.3274284832534556, 'tempo_ratio': 1.367855953}, 'g': {'count': 1, 'total_original_duration': 0.289375, 'total_adjusted_duration': 0.1851782231594705, 'tempo_ratio': 1.562683749}, 'r': {'count': 1, 'total_original_duration': 0.2411875, 'total_adjusted_duration': 0.153919331858885, 'tempo_ratio': 1.566973408}, 'ow': {'count': 1, 'total_original_duration': 1.0405, 'total_adjusted_duration': 0.6375364832473652, 'tempo_ratio': 1.632063462}}}",0061.wav
THE,THE,TA,"{'mean_confidence': 0.977249264717102, 'min_confidence': 0.4337104856967926, 'max_confidence': 0.9999752044677734}","{'mean_confidence': 0.9715325832366943, 'min_confidence': 0.4800444543361664, 'max_confidence': 0.9999736547470093}",2.455,2.06275,0.0,1.0,"{'original_duration': 2.455, 'adjusted_duration': 2.06275, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.815, 'total_adjusted_duration': 1.7217192483203323, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 1, 'total_original_duration': 0.1975, 'total_adjusted_duration': 0.12676826306173553, 'tempo_ratio': 1.557960922}, 'd': {'count': 1, 'total_original_duration': 0.105, 'total_adjusted_duration': 0.058645579929389624, 'tempo_ratio': 1.790416262}, 'ah': {'count': 1, 'total_original_duration': 0.33, 'total_adjusted_duration': 0.15566776702487636, 'tempo_ratio': 2.119899362}}}",0062.wav
FOR,FOR,FOUR,"{'mean_confidence': 0.9796041250228882, 'min_confidence': 0.5844298601150513, 'max_confidence': 0.9999490976333618}","{'mean_confidence': 0.9623890519142151, 'min_confidence': 0.5276519656181335, 'max_confidence': 0.9998131394386292}",2.32,1.9463125,0.0,1.0,"{'original_duration': 2.32, 'adjusted_duration': 1.9463125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.5881875, 'total_adjusted_duration': 1.5065636301331944, 'tempo_ratio': 1.05417884}, 'f': {'count': 1, 'total_original_duration': 0.2759375, 'total_adjusted_duration': 0.16921848821468682, 'tempo_ratio': 1.630658109}, 'ao': {'count': 1, 'total_original_duration': 0.1655, 'total_adjusted_duration': 0.09598721848814189, 'tempo_ratio': 1.724187893}, 'r': {'count': 1, 'total_original_duration': 0.2735625, 'total_adjusted_duration': 0.17458018024004654, 'tempo_ratio': 1.566973408}}}",0063.wav
